Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.3,0.17,0.12,0.0,0.0,0.12,0.44
02:15 - 02:30,5.55,0.07,0.1,0.0,0.0,0.12,0.46
02:30 - 02:45,5.22,0.01,0.17,0.0,0.0,0.12,0.39
02:45 - 03:00,4.69,0.0,0.17,0.0,0.0,0.12,0.39
03:00 - 03:15,4.61,0.0,0.17,0.0,0.0,0.12,0.39
03:15 - 03:30,4.31,0.0,0.17,0.0,0.0,0.09,0.24
03:30 - 03:45,3.91,0.06,0.17,0.0,0.0,0.0,0.14
03:45 - 04:00,3.58,0.08,0.17,0.01,0.0,0.01,0.14
04:00 - 04:15,3.16,0.09,0.17,0.0,0.0,0.0,0.14
04:15 - 04:30,2.98,0.09,0.08,0.0,0.0,0.0,0.14
04:30 - 04:45,2.71,0.1,0.1,0.0,0.0,0.0,0.14
04:45 - 05:00,2.7,0.14,0.1,0.01,0.0,0.0,0.16
05:00 - 05:15,2.74,0.09,0.08,0.0,0.0,0.0,0.23
05:15 - 05:30,2.53,0.09,0.08,0.0,0.0,0.0,0.14
05:30 - 05:45,2.41,0.09,0.08,0.0,0.0,0.0,0.14
05:45 - 06:00,2.53,0.09,0.08,0.0,0.0,0.0,0.06
Medie 2-6,3.74,0.07,0.12,0.0,0.0,0.04,0.24
06:00 - 06:15,2.96,0.13,0.22,0.0,0.0,0.0,0.0
06:15 - 06:30,3.41,0.21,0.23,0.02,0.0,0.0,0.0
06:30 - 06:45,3.42,0.21,0.26,0.05,0.0,0.0,0.0
06:45 - 07:00,3.83,0.21,0.16,0.0,0.0,0.0,0.1
07:00 - 07:15,4.51,0.21,0.08,0.0,0.05,0.0,0.19
07:15 - 07:30,6.25,0.19,0.11,0.0,0.09,0.05,0.33
07:30 - 07:45,6.75,0.19,0.2,0.01,0.09,0.06,0.32
07:45 - 08:00,7.02,0.25,0.31,0.03,0.09,0.0,0.19
08:00 - 08:15,8.44,0.28,0.34,0.07,0.09,0.03,0.31
08:15 - 08:30,9.22,0.25,0.2,0.0,0.14,0.08,0.31
08:30 - 08:45,10.25,0.39,0.19,0.0,0.08,0.18,0.47
08:45 - 09:00,11.26,0.45,0.13,0.03,0.06,0.0,0.64
Medie 6-9,6.44,0.25,0.2,0.02,0.06,0.03,0.24
09:00 - 09:15,12.99,0.65,0.14,0.0,0.0,0.06,0.87
09:15 - 09:30,13.67,0.48,0.2,0.0,0.0,0.18,0.84
09:30 - 09:45,13.85,0.53,0.19,0.08,0.0,0.08,0.91
09:45 - 10:00,14.89,0.67,0.23,0.09,0.0,0.17,0.99
10:00 - 10:15,15.28,0.48,0.11,0.23,0.0,0.22,1.22
10:15 - 10:30,15.69,0.65,0.19,0.16,0.01,0.03,1.34
10:30 - 10:45,15.81,0.68,0.18,0.13,0.05,0.0,1.13
10:45 - 11:00,15.05,0.56,0.25,0.12,0.03,0.0,0.53
11:00 - 11:15,14.99,0.47,0.31,0.09,0.0,0.17,0.57
11:15 - 11:30,15.24,0.51,0.29,0.1,0.0,0.1,0.65
11:30 - 11:45,15.5,0.43,0.2,0.09,0.07,0.11,0.87
11:45 - 12:00,15.62,0.75,0.24,0.11,0.05,0.06,0.62
Medie 9-12,14.88,0.57,0.21,0.1,0.02,0.1,0.88
12:00 - 12:15,15.5,0.78,0.48,0.02,0.0,0.2,1.06
12:15 - 12:30,15.79,0.67,0.65,0.0,0.0,0.25,0.78
12:30 - 12:45,14.99,0.26,0.86,0.02,0.0,0.2,0.66
12:45 - 13:00,15.39,0.13,0.84,0.02,0.0,0.0,0.52
13:00 - 13:15,15.99,0.25,0.75,0.0,0.0,0.0,0.68
13:15 - 13:30,16.79,0.27,1.12,0.07,0.09,0.06,0.62
13:30 - 13:45,16.97,0.26,0.93,0.05,0.0,0.15,0.57
13:45 - 14:00,16.64,0.31,1.0,0.03,0.01,0.37,0.57
14:00 - 14:15,16.51,0.23,0.91,0.01,0.04,0.48,0.71
14:15 - 14:30,17.01,0.17,1.04,0.0,0.0,0.35,0.67
14:30 - 14:45,17.47,0.2,0.92,0.03,0.0,0.28,0.68
14:45 - 15:00,17.2,0.26,0.72,0.01,0.01,0.15,0.5
Medie 12-15,16.35,0.31,0.85,0.02,0.01,0.21,0.67
15:00 - 15:15,16.99,0.19,0.6,0.01,0.0,0.1,0.64
15:15 - 15:30,17.62,0.25,0.48,0.01,0.08,0.14,0.75
15:30 - 15:45,18.17,0.15,0.42,0.02,0.01,0.2,0.69
15:45 - 16:00,18.16,0.22,0.46,0.11,0.0,0.23,0.47
Medie 15-16,17.74,0.2,0.49,0.04,0.02,0.17,0.64
